Game_ID,Blue_Team,Red_Team,Blue_Score,Red_Score,Blue_Win_Probability,Red_Win_Probability,Actual_Winner,Blue_Players,Red_Players
71003,Weibo Gaming,Bilibili Gaming,0.627321122881825,5.0,0.11147775454487757,0.8885222454551224,Bilibili Gaming,5,5
71010,Invictus Gaming,Top Esports,0.9904614016602409,4.013409001752734,0.19793905952973517,0.8020609404702648,Top Esports,5,5
71011,Invictus Gaming,Top Esports,4.9999531507492065,0.9817195341617251,0.8358787606954554,0.16412123930454467,Invictus Gaming,5,5
71012,Top Esports,Invictus Gaming,1.0014110409146755,4.589393675327301,0.17911751380001756,0.8208824861999825,Invictus Gaming,5,5
71013,Weibo Gaming,Anyone s Legend,1.0010177860432634,4.999721467494965,0.16681574448565337,0.8331842555143466,Anyone s Legend,5,5
71014,Weibo Gaming,Anyone s Legend,0.987945404762587,4.9711368680000305,0.16578818004883455,0.8342118199511654,Anyone s Legend,5,5
71016,Top Esports,Bilibili Gaming,4.998486161231995,0.10958994448489356,0.9785457494726357,0.021454250527364306,Top Esports,5,5
71017,Bilibili Gaming,Top Esports,0.01950815849704668,4.748215079307556,0.004091713701491955,0.995908286298508,Top Esports,5,5
71025,Movistar KOI,Natus Vincere,3.0590251718240324,1.9514023338166524,0.6105317696703955,0.3894682303296046,Movistar KOI,5,5
71026,Natus Vincere,Movistar KOI,1.2624885578698013,4.9198830127716064,0.20420780980959718,0.7957921901904028,Movistar KOI,5,5
71034,Fnatic,G2 Esports,0.03928882980083115,4.999996304512024,0.0077965085827969285,0.992203491417203,G2 Esports,5,5
71035,Fnatic,G2 Esports,1.002692396769395,4.2726516127586365,0.19007147116062728,0.8099285288393727,G2 Esports,5,5
71040,G2 Esports,Team BDS,4.117270991206169,0.011552586609468563,0.9972019665186129,0.0027980334813870835,G2 Esports,5,5
71041,G2 Esports,Team BDS,4.993648827075958,0.9998599087963402,0.8331761989747363,0.16682380102526373,G2 Esports,5,5
71048,LYON,100 Thieves,2.648875642567873,4.14723114669323,0.38976368746199,0.6102363125380099,100 Thieves,5,5
71049,LYON,100 Thieves,0.18810092596426387,4.999799907207489,0.03625761787147802,0.9637423821285219,100 Thieves,5,5
71050,LYON,100 Thieves,4.992672860622406,0.5749688867105882,0.8967302651996226,0.10326973480037742,LYON,5,5
71051,100 Thieves,LYON,4.630946040153503,1.0863272060087183,0.8099920785248585,0.19000792147514142,100 Thieves,5,5
71058,FlyQuest,Team Liquid,4.999845266342163,0.3486761017226604,0.9348088793653232,0.06519112063467677,FlyQuest,5,5
71059,Team Liquid,FlyQuest,4.630232512950897,2.898687249980867,0.6149929417162341,0.3850070582837659,FlyQuest,5,5
71060,Team Liquid,FlyQuest,1.0114745173959818,4.18106883764267,0.19479365856704586,0.8052063414329541,FlyQuest,5,5
71078,Vivo Keyd Stars,FURIA,4.858212947845459,1.0398129464301746,0.8237015291100415,0.17629847088995856,Vivo Keyd Stars,5,5
71079,FURIA,Vivo Keyd Stars,3.9537730496376753,3.7906388640403748,0.5105323804709545,0.4894676195290455,Vivo Keyd Stars,5,5
71080,FURIA,Vivo Keyd Stars,0.9212617397980443,4.999999523162842,0.1555853894778785,0.8444146105221214,Vivo Keyd Stars,5,5
71253,CTBC Flying Oyster,MGN Vikings Esports,4.999995827674866,1.9087577529858102,0.7237189413834503,0.2762810586165498,CTBC Flying Oyster,5,5
71254,MGN Vikings Esports,CTBC Flying Oyster,5.0,0.26150323446445045,0.9502987601049973,0.049701239895002726,MGN Vikings Esports,5,5
71255,CTBC Flying Oyster,MGN Vikings Esports,4.999877452850342,0.9923936062916994,0.8343877310460338,0.16561226895396616,CTBC Flying Oyster,5,5
71256,Team Secret Whales,GAM Esports,2.0529439359711716,4.994674742221832,0.29129611429225943,0.7087038857077406,GAM Esports,5,5
71257,Team Secret Whales,GAM Esports,1.1947181366558652,4.137684419751167,0.22404875176206973,0.7759512482379303,GAM Esports,5,5
71259,PSG Talon,Chiefs Esports Club,4.999995708465576,1.4140252431388944,0.7795415303741445,0.2204584696258554,PSG Talon,5,5
71260,Chiefs Esports Club,PSG Talon,1.0123414543986389,4.828807771205902,0.1733120342074234,0.8266879657925766,PSG Talon,5,5
71378,Gen.G eSports,Nongshim RedForce,4.999882817268372,1.017940005469359,0.8308457999755033,0.16915420002449663,Gen.G eSports,5,5
71379,Nongshim RedForce,Gen.G eSports,0.8209972219785868,4.987000346183777,0.1413563301884006,0.8586436698115993,Gen.G eSports,5,5
71381,KT Rolster,Hanwha Life eSports,4.981577277183533,2.90284472681968,0.6318252973590457,0.3681747026409543,KT Rolster,5,5
71382,Hanwha Life eSports,KT Rolster,4.985128223896027,1.4249100874988927,0.7777064631632739,0.2222935368367262,Hanwha Life eSports,5,5
71383,KT Rolster,Hanwha Life eSports,2.5949341002037727,3.010180041193962,0.4629582975016241,0.5370417024983759,Hanwha Life eSports,5,5
71387,Nongshim RedForce,T1,0.513213020549756,4.999999046325684,0.09308784322541298,0.906912156774587,T1,5,5
71388,Nongshim RedForce,T1,4.9999260902404785,0.5957223066034203,0.8935382882635328,0.10646171173646726,Nongshim RedForce,5,5
71389,T1,Nongshim RedForce,4.042074076831341,1.130710384430131,0.7814116569329494,0.21858834306705058,T1,5,5
71393,Hanwha Life eSports,Gen.G eSports,1.0052992603395978,4.9985634088516235,0.16744208116189663,0.8325579188381034,Gen.G eSports,5,5
71394,Hanwha Life eSports,Gen.G eSports,5.0,0.9986430242390979,0.8335218448232679,0.16647815517673206,Hanwha Life eSports,5,5
