Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,Win,Game_ID,Blue_Team,Red_Team,Winning_Team
Shanks,MID,15,0,5,6,1.2,247,0,,8.6,9600,334,19.7%,30.56,8,6,5,,1.06,0.28,0.17,0.21,12.4%,15954.21,1027.01,14927.2,0,556,23.7%,0.21,75%,,,,,,-766,,,,,,,,,,,,,12998.7,,,,,,0,72496,Anyone s Legend,Top Esports,Top Esports
Hope,ADC,14,3,3,1,1.3,259,2,,9,12336,430,25.3%,49.1,15,18,6,,1.71,0.52,0.21,0.63,19.9%,16811.32,11539.8,4724.72,546.8,585,25%,0.14,50%,,,,,,-1010,,,,,,,,,,,,,14453.2,,,,,,0,72496,Anyone s Legend,Top Esports,Top Esports
Kael,SUPPORT,10,0,5,7,1.4,23,0,,0.8,6253,218,12.8%,102.38,64,8,18,,3.57,2.23,0.63,0.28,41.5%,6238.5,552.62,3194.95,2490.93,217,9.3%,0.24,87.5%,,,,,,-340,,,,,,,,,,,,,18794.5,,,,,,0,72496,Anyone s Legend,Top Esports,Top Esports
369,TOP,17,8,3,10,6,210,0,,7.3,14321,499,22.8%,20.83,8,3,3,,0.73,0.28,0.1,0.1,7.3%,19551.57,16187.9,3363.67,0,681,21.8%,0.63,78.3%,,,,,,-69,,,,,,,,,,,,,33165.1,,,,,,1,72496,Anyone s Legend,Top Esports,Top Esports
Kanavi,JUNGLE,16,3,0,15,Perfect KDA,221,197,,7.7,12443,433,19.9%,55.46,8,20,6,,1.93,0.28,0.21,0.7,19.4%,11876.98,10776.1,872.4,228.48,414,13.2%,0.63,78.3%,,,,,,831,,,,,,,,,,,,,31596.2,,,,,,1,72496,Anyone s Legend,Top Esports,Top Esports
Creme,MID,17,8,1,8,16,271,8,,9.4,14330,499,22.9%,50.01,13,16,3,,1.74,0.45,0.1,0.56,17.5%,19441.65,1035.95,18405.7,0,677,21.7%,0.56,69.6%,,,,,,766,,,,,,,,,,,,,20243.5,,,,,,1,72496,Anyone s Legend,Top Esports,Top Esports
JackeyLove,ADC,16,3,1,14,17,268,7,,9.3,13424,467,21.4%,45.94,14,16,6,,1.6,0.49,0.21,0.56,16.1%,27749.95,18159,8706.18,884.77,966,30.9%,0.59,73.9%,,,,,,1010,,,,,,,,,,,,,10757.5,,,,,,1,72496,Anyone s Legend,Top Esports,Top Esports
Hang,SUPPORT,12,1,3,16,5.7,30,2,,1,8165,284,13%,112.92,62,9,21,,3.93,2.16,0.73,0.31,39.6%,11177.21,926.41,10250.8,0,389,12.4%,0.59,73.9%,,,,,,340,,,,,,,,,,,,,14521.7,,,,,,1,72496,Anyone s Legend,Top Esports,Top Esports
Flandre,TOP,17,3,3,10,4.3,242,2,,7.6,12262,385,19.9%,36.8,11,6,4,,1.15,0.35,0.13,0.19,13%,23281.6,1560.58,20613.1,1107.92,731,25%,0.41,76.5%,,,,,,-138,,,,,,,,,,,,,20950.8,,,,,,1,72497,Anyone s Legend,Top Esports,Anyone s Legend
Tarzan,JUNGLE,16,3,2,9,6,224,202,,7,12830,403,20.8%,63.16,12,18,11,,1.98,0.38,0.35,0.56,22.3%,16194.83,12133.3,3171.33,890.2,508,17.4%,0.38,70.6%,,,,,,-1058,,,,,,,,,,,,,52247.6,,,,,,1,72497,Anyone s Legend,Top Esports,Anyone s Legend
Shanks,MID,17,3,4,13,4,225,0,,7.1,12176,382,19.8%,37.98,9,7,5,,1.19,0.28,0.16,0.22,13.4%,16386.73,234.37,15809.4,342.96,514,17.6%,0.5,94.1%,,,,,,-1182,,,,,,,,,,,,,30299.8,,,,,,1,72497,Anyone s Legend,Top Esports,Anyone s Legend
Hope,ADC,17,8,0,7,Perfect KDA,323,5,,10.1,17117,537,27.8%,39.23,17,12,7,,1.23,0.53,0.22,0.38,13.8%,30658.6,30268.6,0,390,962,32.9%,0.47,88.2%,,,,,,213,,,,,,,,,,,,,17573.1,,,,,,1,72497,Anyone s Legend,Top Esports,Anyone s Legend
Kael,SUPPORT,12,0,8,8,1,28,0,,0.9,7174,225,11.7%,106.46,55,10,14,,3.34,1.73,0.44,0.31,37.5%,6727.7,5388.48,642.7,696.52,211,7.2%,0.25,47.1%,,,,,,-320,,,,,,,,,,,,,23107.3,,,,,,1,72497,Anyone s Legend,Top Esports,Anyone s Legend
369,TOP,16,3,3,3,2,262,4,,8.2,12700,399,22.6%,21.28,11,6,1,,0.67,0.35,0.03,0.19,6.9%,20478.64,13553.8,6810.6,114.24,643,18.4%,0.19,35.3%,,,,,,138,,,,,,,,,,,,,26894.1,,,,,,0,72497,Anyone s Legend,Top Esports,Anyone s Legend
Kanavi,JUNGLE,15,7,6,4,1.8,225,212,,7.1,12080,379,21.5%,38.2,7,6,7,,1.2,0.22,0.22,0.19,12.3%,22440.56,20538.8,99.85,1801.91,704,20.2%,0.35,64.7%,,,,,,1058,,,,,,,,,,,,,44523.8,,,,,,0,72497,Anyone s Legend,Top Esports,Anyone s Legend
