Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,Win,Game_ID,Blue_Team,Red_Team,Winning_Team
Kemish,MID,18,10,1,9,19,323,8,,8.3,17648,453,23.5%,48,7,12,4,4,1.23,0.18,0.1,0.31,13%,36881,2495,25836,8550,946,23.8%,0.49,82.6%,1,2,1,0,0,1109,11,516,0,0,4213,4213,10910,0,17932,0,28,212,27640,41,8,30,0,119,1,71897,DNF Challengers,Gen.G Global Academy,Gen.G Global Academy
About,ADC,18,3,3,12,5,467,71,,12,19628,503,26.1%,56,18,17,6,6,1.44,0.46,0.15,0.44,15.2%,42954,33722,7914,1318,1102,27.8%,0.38,65.2%,,0,0,0,0,147,12,172,0,0,8359,8359,11746,0,21053,0,12,274,33011,130,7,26,0,483,1,71897,DNF Challengers,Gen.G Global Academy,Gen.G Global Academy
Namgung,SUPPORT,15,1,3,12,4.3,26,0,,0.7,9042,232,12%,156,90,14,24,22,4,2.31,0.62,0.36,42.3%,12553,9597,934,2022,322,8.1%,0.33,56.5%,,0,0,0,0,-109,-3,-572,0,0,639,639,8582,2903,27734,1180,34,241,27568,89,27,44,0,0,1,71897,DNF Challengers,Gen.G Global Academy,Gen.G Global Academy
Lancer,TOP,18,2,5,13,3,322,3,,7.1,16384,362,17.9%,48,18,12,11,10,1.06,0.4,0.24,0.27,12.9%,32985,27149,4687,1149,729,17.2%,0.33,51.7%,,0,0,0,0,-261,-14,-28,0,0,2513,2513,9885,0,132635,2733,47,2675,60115,268,16,36,0,16,1,71898,DNF Challengers,Gen.G Global Academy,DNF Challengers
DDoiV,JUNGLE,18,5,3,14,6.3,285,219,,6.3,17792,393,19.5%,94,44,14,26,25,2.08,0.97,0.58,0.31,25.3%,32181,26524,3854,1803,712,16.8%,0.42,65.5%,,1,0,0,0,104,0,-214,0,0,6668,6668,44380,0,90229,1531,33,844,77066,70,28,52,34,442,1,71898,DNF Challengers,Gen.G Global Academy,DNF Challengers
Pungyeon,MID,18,8,6,11,3.2,363,24,,8,20048,443,21.9%,40,18,8,8,5,0.88,0.4,0.18,0.18,10.8%,52634,1997,50031,606,1164,27.5%,0.42,65.5%,,1,0,0,0,127,12,-171,0,0,8712,8712,4438,0,26445,0,73,1166,33733,241,11,33,40,314,1,71898,DNF Challengers,Gen.G Global Academy,DNF Challengers
Slayer,ADC,18,13,5,10,4.6,377,26,,8.3,24574,543,26.9%,35,11,12,1,1,0.77,0.24,0.02,0.27,9.4%,56259,21944,31667,2648,1244,29.4%,0.51,79.3%,,2,1,0,0,377,-13,-410,0,0,12329,12329,12921,0,29821,0,8,166,42337,201,5,28,409,1211,1,71898,DNF Challengers,Gen.G Global Academy,DNF Challengers
Quantum,SUPPORT,18,1,5,25,5.2,35,0,,0.8,12623,279,13.8%,155,79,11,22,21,3.43,1.75,0.49,0.24,41.7%,17456,1196,11100,5160,386,9.1%,0.58,89.7%,,0,0,0,0,142,8,1019,1,0,348,348,45551,27893,79657,1890,76,205,53667,168,29,45,0,0,1,71898,DNF Challengers,Gen.G Global Academy,DNF Challengers
Hanbyeol,TOP,18,1,3,10,3.7,343,1,,7.6,15521,343,18.7%,53,16,13,10,10,1.17,0.35,0.22,0.29,13.7%,26299,21370,4617,312,582,12.5%,0.24,45.8%,,0,0,0,0,261,14,28,0,0,2299,2299,20742,0,76471,0,49,157,66702,106,12,35,16,354,0,71898,DNF Challengers,Gen.G Global Academy,DNF Challengers
Winner,JUNGLE,18,5,5,12,3.4,293,241,,6.5,16305,361,19.7%,56,16,4,13,13,1.24,0.35,0.29,0.09,14.5%,26298,23847,2310,141,582,12.5%,0.38,70.8%,1,0,0,0,0,-104,0,214,0,0,1012,1012,19934,0,33544,0,27,219,45881,176,15,39,0,34,0,71898,DNF Challengers,Gen.G Global Academy,DNF Challengers
Kemish,MID,18,8,5,10,3.6,335,15,,7.4,19449,430,23.5%,38,10,11,7,7,0.84,0.22,0.15,0.24,9.8%,52927,1420,50632,875,1171,25.2%,0.4,75%,,1,1,0,0,-127,-12,171,0,0,0,0,24071,0,81647,0,40,706,60713,175,11,36,1456,95,0,71898,DNF Challengers,Gen.G Global Academy,DNF Challengers
About,ADC,18,10,6,8,3,414,42,,9.2,21580,477,26%,51,19,13,5,5,1.13,0.42,0.11,0.29,13.2%,84014,51216,29691,3107,1858,40%,0.4,75%,2,0,1,0,0,-377,13,410,0,0,7741,7741,7702,0,25873,0,16,254,34971,216,11,37,511,0,0,71898,DNF Challengers,Gen.G Global Academy,DNF Challengers
Namgung,SUPPORT,15,0,10,10,1,54,0,,1.2,10027,222,12.1%,188,108,23,26,24,4.16,2.39,0.58,0.51,48.7%,20572,1385,17957,1230,455,9.8%,0.22,41.7%,,0,0,0,0,-142,-8,-1019,-1,0,859,859,3852,1215,13372,0,59,169,30962,324,29,45,0,0,0,71898,DNF Challengers,Gen.G Global Academy,DNF Challengers
Hanbyeol,TOP,16,1,5,2,0.6,262,0,,8,11915,362,20.9%,34,9,7,3,3,1.03,0.27,0.09,0.21,12%,26073,17911,7946,216,791,32.3%,0.09,33.3%,,0,0,0,0,521,7,466,1,0,8078,8078,7941,0,29881,0,10,195,32784,144,4,27,201,0,0,71899,Gen.G Global Academy,DNF Challengers,DNF Challengers
Winner,JUNGLE,15,2,1,5,7,235,200,,7.1,11692,355,20.5%,56,9,14,6,6,1.7,0.27,0.18,0.42,19.7%,14641,11780,0,2861,444,18.2%,0.21,77.8%,,0,0,0,0,-263,-17,-900,-1,0,1289,1289,20907,0,20901,0,6,121,29730,0,7,28,0,0,0,71899,Gen.G Global Academy,DNF Challengers,DNF Challengers
Kemish,MID,16,3,3,3,2,261,0,,7.9,12002,364,21%,37,11,9,4,4,1.12,0.33,0.12,0.27,13%,16737,717,15786,234,508,20.8%,0.18,66.7%,,0,0,0,0,-945,-20,-588,0,0,910,910,747,0,12008,2626,36,525,13858,85,6,30,275,0,0,71899,Gen.G Global Academy,DNF Challengers,DNF Challengers
About,ADC,16,3,7,5,1.1,325,10,,9.9,14198,431,24.9%,45,15,12,4,4,1.37,0.46,0.12,0.36,15.8%,17797,16783,353,661,540,22.1%,0.24,88.9%,,1,0,0,0,243,-13,482,0,0,810,810,4440,0,11551,0,8,80,21220,211,5,34,443,0,0,71899,Gen.G Global Academy,DNF Challengers,DNF Challengers
Namgung,SUPPORT,12,0,7,6,0.9,44,2,,1.3,7233,220,12.7%,112,73,12,18,17,3.4,2.22,0.55,0.36,39.4%,5412,1769,3129,514,164,6.7%,0.18,66.7%,,0,0,0,0,97,0,100,0,0,0,0,2271,260,32729,482,43,203,24224,195,20,38,0,0,0,71899,Gen.G Global Academy,DNF Challengers,DNF Challengers
Lancer,TOP,18,3,2,8,5.5,248,0,,7.5,13890,422,19.4%,47,17,6,11,11,1.43,0.52,0.33,0.18,14.9%,22225,18930,3295,0,675,23.5%,0.33,47.8%,,0,0,0,0,-521,-7,-466,-1,0,6230,6230,16329,0,33458,0,25,326,35539,73,13,30,0,201,1,71899,Gen.G Global Academy,DNF Challengers,DNF Challengers
DDoiV,JUNGLE,18,8,2,7,7.5,251,219,,7.6,14670,445,20.5%,53,10,7,10,8,1.61,0.3,0.3,0.21,16.8%,18829,17271,1085,473,571,19.9%,0.46,65.2%,,1,0,0,0,263,17,900,1,0,1229,1229,21872,0,29409,0,7,296,38408,101,12,35,0,718,1,71899,Gen.G Global Academy,DNF Challengers,DNF Challengers
Pungyeon,MID,18,5,0,9,Perfect KDA,328,20,,10,15838,481,22.1%,44,18,10,10,9,1.34,0.55,0.3,0.3,13.9%,23844,819,22908,117,724,25.2%,0.42,60.9%,,0,0,0,0,945,20,588,0,0,3353,3353,7491,0,18902,0,19,93,21319,0,13,34,0,0,1,71899,Gen.G Global Academy,DNF Challengers,DNF Challengers
Slayer,ADC,18,6,1,12,18,351,8,,10.7,17704,537,24.7%,48,15,13,7,7,1.46,0.46,0.21,0.39,15.2%,22530,22209,0,321,684,23.8%,0.55,78.3%,1,2,0,0,0,-243,13,-482,0,0,7566,7566,4834,0,5126,0,1,38,9406,12,8,24,0,0,1,71899,Gen.G Global Academy,DNF Challengers,DNF Challengers
Quantum,SUPPORT,14,1,4,14,3.8,42,0,,1.3,9442,287,13.2%,124,61,16,18,18,3.76,1.85,0.55,0.49,39.2%,7244,1926,3998,1320,220,7.7%,0.46,65.2%,,0,0,0,0,-97,0,-100,0,0,1574,1574,7619,3035,23797,276,33,89,20112,96,21,38,0,0,1,71899,Gen.G Global Academy,DNF Challengers,DNF Challengers
Hanbyeol,TOP,17,3,3,9,4,238,12,,6.5,13633,372,18.6%,45,18,10,4,4,1.23,0.49,0.11,0.27,13.6%,44219,39871,4348,0,1205,27%,0.33,66.7%,,0,0,0,0,151,25,70,0,0,11247,11247,3591,0,15705,0,12,123,20456,107,6,29,0,27,1,71900,Gen.G Global Academy,DNF Challengers,Gen.G Global Academy
Winner,JUNGLE,18,2,2,11,6.5,257,224,,7,14556,397,19.9%,64,9,19,7,7,1.74,0.25,0.19,0.52,19.4%,26671,1786,20502,4383,727,16.3%,0.35,72.2%,,0,0,0,0,258,15,618,1,0,5501,5501,38826,12332,27297,0,13,229,37385,67,8,26,75,33,1,71900,Gen.G Global Academy,DNF Challengers,Gen.G Global Academy
Kemish,MID,18,4,2,12,8,239,0,,6.5,15137,413,20.7%,50,19,12,9,9,1.36,0.52,0.25,0.33,15.2%,33249,2273,30070,906,906,20.3%,0.44,88.9%,,0,0,0,0,231,-20,-733,-1,0,3239,3239,7547,614,21657,0,72,203,25803,94,12,36,104,165,1,71900,Gen.G Global Academy,DNF Challengers,Gen.G Global Academy
About,ADC,18,7,2,7,7,369,27,,10.1,19435,530,26.6%,38,13,15,3,3,1.04,0.35,0.08,0.41,11.5%,46726,37021,8922,783,1274,28.5%,0.38,77.8%,,1,0,0,0,915,12,384,0,0,10330,10330,9850,0,20658,0,4,85,27582,57,4,26,255,99,1,71900,Gen.G Global Academy,DNF Challengers,Gen.G Global Academy
Namgung,SUPPORT,14,2,2,13,7.5,29,0,,0.8,10419,284,14.2%,133,82,11,25,25,3.63,2.24,0.68,0.3,40.3%,12856,1271,11195,390,350,7.9%,0.41,83.3%,,0,0,0,0,251,3,-208,0,0,1172,1172,6651,1413,33641,2581,58,262,30377,71,27,43,0,0,1,71900,Gen.G Global Academy,DNF Challengers,Gen.G Global Academy
Lancer,TOP,16,4,4,2,1.5,264,4,,7.2,14114,385,23.3%,57,16,16,11,10,1.55,0.44,0.3,0.44,19.1%,19382,2189,14525,2668,528,19.7%,0.16,54.5%,,0,0,0,0,-151,-25,-70,0,0,5658,5658,9101,0,34139,0,10,191,38524,129,16,43,198,172,0,71900,Gen.G Global Academy,DNF Challengers,Gen.G Global Academy
DDoiV,JUNGLE,15,1,4,8,2.3,194,170,,5.3,10522,287,17.4%,43,16,6,19,14,1.17,0.44,0.52,0.16,14.4%,15256,7845,6931,480,416,15.5%,0.25,81.8%,,0,0,0,0,-258,-15,-618,-1,0,0,0,23352,458,64149,0,35,440,61508,115,22,44,27,104,0,71900,Gen.G Global Academy,DNF Challengers,Gen.G Global Academy
Pungyeon,MID,18,4,3,3,2.3,358,28,,9.8,15886,433,26.2%,30,15,8,8,5,0.82,0.41,0.22,0.22,10%,22689,21213,1349,127,619,23.1%,0.19,63.6%,,0,0,0,0,-231,20,733,1,0,7275,7275,16406,0,19987,0,8,113,34170,88,11,36,0,75,0,71900,Gen.G Global Academy,DNF Challengers,Gen.G Global Academy
Slayer,ADC,15,2,1,6,8,239,0,,6.5,12299,335,20.3%,37,12,14,4,4,1.01,0.33,0.11,0.38,12.4%,28230,21294,6044,892,770,28.7%,0.22,72.7%,,0,0,0,0,-915,-12,-384,0,0,568,568,26312,8469,13593,2614,49,438,30497,44,5,22,99,83,0,71900,Gen.G Global Academy,DNF Challengers,Gen.G Global Academy
Quantum,SUPPORT,12,0,6,6,1,32,0,,0.9,7718,210,12.7%,132,72,15,18,16,3.6,1.96,0.49,0.41,44.1%,12811,784,10173,1854,349,13%,0.16,54.5%,,0,0,0,0,-251,-3,208,0,0,0,0,22291,6736,35728,927,32,207,40021,173,22,36,0,0,0,71900,Gen.G Global Academy,DNF Challengers,Gen.G Global Academy
Kangin,TOP,18,5,6,9,2.3,337,8,,7.8,18151,421,21.7%,42,10,7,6,5,0.98,0.23,0.14,0.16,10.2%,35054,33977,1000,77,814,21.2%,0.33,56%,1,0,0,0,0,261,16,-323,-1,0,5353,5353,10463,0,62062,0,20,322,46092,238,9,36,0,74,0,71901,HLE Challengers,NS Esports Academy,NS Esports Academy
Grizzly,JUNGLE,18,3,6,14,2.8,247,217,,5.7,15330,356,18.3%,80,16,19,16,14,1.86,0.37,0.37,0.44,19.5%,20469,19954,0,515,475,12.4%,0.39,68%,,0,0,0,0,-422,-1,-324,0,0,0,0,25897,0,77359,0,39,362,59137,285,19,45,0,241,0,71901,HLE Challengers,NS Esports Academy,NS Esports Academy
Tempester,MID,18,10,2,14,12,341,16,,7.9,19549,454,23.3%,46,19,9,8,8,1.07,0.44,0.19,0.21,11.2%,58138,1919,55899,320,1350,35.2%,0.56,96%,,4,0,0,0,-83,-3,-121,0,0,2624,2624,4691,1012,16039,4878,59,605,19916,119,11,35,303,700,0,71901,HLE Challengers,NS Esports Academy,NS Esports Academy
Pyeonsik,ADC,18,7,5,14,4.2,398,22,,9.2,20388,473,24.3%,80,26,22,10,10,1.86,0.6,0.23,0.51,19.5%,39607,38749,0,858,920,24%,0.49,84%,,1,0,0,0,712,9,-320,0,0,2021,2021,10573,0,18872,0,4,42,29343,187,12,35,419,461,0,71901,HLE Challengers,NS Esports Academy,NS Esports Academy
Bluffing,SUPPORT,15,0,7,22,3.1,31,0,,0.7,10361,241,12.4%,162,80,12,21,21,3.76,1.86,0.49,0.28,39.5%,12049,1068,8740,2241,280,7.3%,0.51,88%,,0,0,0,0,-300,0,-107,0,0,0,0,19806,9479,55460,3673,81,160,40802,239,25,41,0,0,0,71901,HLE Challengers,NS Esports Academy,NS Esports Academy
Burdol,TOP,18,6,4,8,3.5,346,8,,8,18931,440,22.2%,43,11,9,5,4,1,0.26,0.12,0.21,10.6%,34106,3835,22627,7644,792,21.1%,0.33,53.8%,,1,0,0,0,-261,-16,323,1,0,12225,12225,11075,0,38078,0,15,354,38061,215,8,35,715,303,1,71901,HLE Challengers,NS Esports Academy,NS Esports Academy
Sylvie,JUNGLE,18,2,6,20,3.7,273,256,,6.3,15521,360,18.2%,72,19,13,17,17,1.67,0.44,0.39,0.3,17.8%,27733,24604,1254,1875,644,17.1%,0.51,84.6%,,0,0,0,0,422,1,324,0,0,1365,1365,42577,0,55037,0,38,948,70015,287,18,42,0,0,1,71901,HLE Challengers,NS Esports Academy,NS Esports Academy
Fisher,MID,18,5,6,14,3.2,365,24,,8.5,17793,413,20.9%,48,15,11,12,12,1.11,0.35,0.28,0.26,11.9%,26852,1261,24778,813,623,16.6%,0.44,73.1%,,0,0,0,0,83,3,121,0,0,3398,3398,6433,0,34056,0,23,185,42259,283,15,36,119,0,1,71901,HLE Challengers,NS Esports Academy,NS Esports Academy
Trigger,ADC,18,12,5,9,4.2,403,40,,9.4,21357,496,25%,43,15,10,4,4,1,0.35,0.09,0.23,10.6%,59219,40856,8621,9742,1375,36.6%,0.49,80.8%,,0,2,0,0,-712,-9,320,0,0,3292,3292,5839,0,27317,0,13,274,33271,243,8,65,300,419,1,71901,HLE Challengers,NS Esports Academy,NS Esports Academy
Crack,SUPPORT,16,1,4,24,6.3,46,0,,1.1,11731,272,13.7%,199,109,27,23,23,4.62,2.53,0.53,0.63,49.1%,14076,944,7691,5441,327,8.7%,0.58,96.2%,,0,0,0,0,300,0,107,0,0,0,0,22031,10571,31740,6408,66,233,31612,119,27,42,342,0,1,71901,HLE Challengers,NS Esports Academy,NS Esports Academy
Kangin,TOP,16,1,5,2,0.6,258,0,,7.1,11332,313,19.1%,30,18,1,6,5,0.83,0.5,0.17,0.03,9.9%,20894,1019,19808,67,577,25%,0.08,42.9%,,0,0,0,0,-548,-3,-681,-1,0,688,688,3893,0,31027,0,15,360,26913,166,8,29,0,0,0,71902,HLE Challengers,NS Esports Academy,NS Esports Academy
Grizzly,JUNGLE,17,1,3,3,1.3,282,249,,7.8,13186,364,22.2%,51,11,13,11,9,1.41,0.3,0.3,0.36,16.9%,14000,12969,647,384,387,16.7%,0.11,57.1%,1,0,0,0,0,-101,-1,-533,0,0,971,971,19010,0,23982,0,4,201,36456,105,12,36,476,0,0,71902,HLE Challengers,NS Esports Academy,NS Esports Academy
Tempester,MID,16,2,2,1,1.5,283,4,,7.8,12555,347,21.2%,21,9,4,7,6,0.58,0.25,0.19,0.11,7%,14255,1815,8715,3725,394,17%,0.08,42.9%,,0,0,0,0,-117,-5,129,0,0,354,354,7144,0,8807,0,16,111,22520,38,9,32,113,0,0,71902,HLE Challengers,NS Esports Academy,NS Esports Academy
Pyeonsik,ADC,16,2,3,4,2,318,0,,8.8,13999,387,23.6%,34,19,8,9,8,0.94,0.52,0.25,0.22,11.3%,25682,22416,3034,232,709,30.7%,0.17,85.7%,,0,0,0,0,-72,-5,83,0,0,1843,1843,2496,0,6595,0,28,368,14284,83,10,27,256,0,0,71902,HLE Challengers,NS Esports Academy,NS Esports Academy
Bluffing,SUPPORT,10,1,5,3,0.8,47,0,,1.3,8213,227,13.9%,166,66,35,20,19,4.59,1.82,0.55,0.97,55%,8903,979,7836,88,246,10.6%,0.11,57.1%,,0,0,0,0,432,6,-124,0,0,0,0,3460,596,6798,0,20,34,20943,120,22,40,0,0,0,71902,HLE Challengers,NS Esports Academy,NS Esports Academy
Burdol,TOP,18,6,0,7,Perfect KDA,282,1,,7.8,14957,413,21.3%,44,15,11,11,10,1.22,0.41,0.3,0.3,12.9%,20678,210,19663,805,571,23.8%,0.36,72.2%,,0,0,0,0,548,3,681,1,0,3336,3336,7385,0,49094,2338,40,199,27869,0,14,39,0,0,1,71902,HLE Challengers,NS Esports Academy,NS Esports Academy
Sylvie,JUNGLE,18,1,0,12,Perfect KDA,294,271,,8.1,13824,382,19.7%,71,10,13,9,9,1.96,0.28,0.25,0.36,20.8%,11269,8940,1722,607,311,13%,0.36,72.2%,,0,0,0,0,101,1,533,0,0,5337,5337,24229,0,41762,0,15,289,38401,0,10,29,0,0,1,71902,HLE Challengers,NS Esports Academy,NS Esports Academy
Fisher,MID,18,5,3,4,3,311,0,,8.6,15747,435,22.4%,42,12,11,8,8,1.16,0.33,0.22,0.3,12.3%,20766,852,18166,1748,574,23.9%,0.25,50%,1,1,0,0,0,117,5,-129,0,0,2184,2184,4085,0,18332,0,4,207,27254,146,9,27,0,369,1,71902,HLE Challengers,NS Esports Academy,NS Esports Academy
Trigger,ADC,18,6,1,6,12,333,8,,9.2,16376,452,23.3%,33,11,9,1,1,0.91,0.3,0.03,0.25,9.7%,24296,22258,1395,643,671,28%,0.33,66.7%,,1,0,0,0,72,5,-83,0,0,8113,8113,7296,0,12865,0,33,228,17336,50,3,34,0,476,1,71902,HLE Challengers,NS Esports Academy,NS Esports Academy
Crack,SUPPORT,14,0,3,15,5,37,0,,1,9349,258,13.3%,151,77,22,21,20,4.17,2.13,0.58,0.61,44.3%,9839,890,8338,611,272,11.3%,0.41,83.3%,,0,0,0,0,-432,-6,124,0,0,875,875,7101,1835,10487,7563,30,183,19261,92,23,41,0,0,1,71902,HLE Challengers,NS Esports Academy,NS Esports Academy
Kangin,TOP,17,3,5,6,1.8,270,0,,7.3,14226,384,20.7%,33,11,4,4,4,0.89,0.3,0.11,0.11,10.1%,19915,12484,7426,5,538,20.9%,0.24,75%,,1,0,0,0,-1361,-2,-763,-1,0,2282,2282,11299,0,94437,0,43,929,48122,169,7,29,404,0,0,71903,HLE Challengers,NS Esports Academy,NS Esports Academy
Grizzly,JUNGLE,16,4,3,5,3,231,211,,6.2,13770,372,20.1%,58,14,17,14,12,1.57,0.38,0.38,0.46,17.7%,18902,15662,863,2377,510,19.8%,0.24,75%,,0,0,0,0,-245,3,-49,0,1,1671,1671,23997,0,44364,0,28,630,41238,94,15,37,287,0,0,71903,HLE Challengers,NS Esports Academy,NS Esports Academy
Tempester,MID,18,1,2,7,4,286,5,,7.7,13431,363,19.6%,39,19,9,9,9,1.05,0.51,0.24,0.24,11.9%,23945,539,23406,0,646,25.1%,0.22,66.7%,,0,0,0,0,-371,-1,-267,0,0,5744,5744,2072,350,8316,3371,32,1010,15209,89,11,31,0,0,0,71903,HLE Challengers,NS Esports Academy,NS Esports Academy
Pyeonsik,ADC,17,4,1,4,8,373,16,,10.1,17878,483,26.1%,53,15,16,5,5,1.43,0.4,0.13,0.43,16.2%,26461,25190,605,666,714,27.7%,0.22,66.7%,,2,0,0,0,-766,-21,-351,-1,0,9910,9910,5863,0,9150,0,15,102,14533,58,6,27,675,0,0,71903,HLE Challengers,NS Esports Academy,NS Esports Academy
Bluffing,SUPPORT,13,0,6,10,1.7,32,0,,0.9,9302,251,13.6%,145,75,19,25,24,3.91,2.02,0.67,0.51,44.2%,6233,1264,4244,725,168,6.5%,0.27,83.3%,,0,0,0,0,-280,-7,-631,-1,0,439,439,2398,286,29383,311,41,128,21799,142,27,41,0,0,0,71903,HLE Challengers,NS Esports Academy,NS Esports Academy
Burdol,TOP,18,7,2,5,6,326,14,,8.8,18150,490,25.5%,42,14,10,8,7,1.13,0.38,0.22,0.27,11.4%,31808,20348,11460,0,859,29.3%,0.32,70.6%,2,1,1,0,0,1361,2,763,1,0,12931,12931,12247,0,32834,0,12,227,34024,102,10,37,0,349,1,71903,HLE Challengers,NS Esports Academy,NS Esports Academy
Sylvie,JUNGLE,17,5,3,5,3.3,262,244,,7.1,13663,369,19.2%,60,13,13,11,11,1.62,0.35,0.3,0.35,16.2%,18722,17569,804,349,505,17.2%,0.27,58.8%,,0,0,0,0,245,-3,49,0,0,1614,1614,31355,0,39404,0,21,282,51450,96,12,31,0,327,1,71903,HLE Challengers,NS Esports Academy,NS Esports Academy
Fisher,MID,18,2,1,8,10,297,4,,8,13800,372,19.4%,46,19,11,9,9,1.24,0.51,0.24,0.3,12.4%,22890,573,22029,288,618,21.1%,0.27,58.8%,,0,0,0,0,371,1,267,0,0,2401,2401,7717,0,24884,0,42,1008,24096,57,12,30,0,287,1,71903,HLE Challengers,NS Esports Academy,NS Esports Academy
Trigger,ADC,17,2,2,8,5,380,11,,10.3,16441,444,23.1%,57,14,20,3,3,1.54,0.38,0.08,0.54,15.4%,27065,25875,876,314,730,24.9%,0.27,58.8%,,0,0,0,0,766,21,351,1,0,5427,5427,3752,0,18129,0,9,157,12296,100,4,30,0,393,1,71903,HLE Challengers,NS Esports Academy,NS Esports Academy
Crack,SUPPORT,13,1,4,11,3,39,0,,1.1,9009,243,12.7%,165,79,22,23,21,4.45,2.13,0.62,0.59,44.6%,8098,2104,5610,384,219,7.5%,0.32,70.6%,,0,0,0,0,280,7,631,1,0,0,0,5696,642,27613,0,52,135,22905,133,26,40,0,10,1,71903,HLE Challengers,NS Esports Academy,NS Esports Academy
Tracyn,TOP,18,7,0,10,Perfect KDA,238,0,,7.5,13620,427,20.1%,30,11,4,7,6,0.94,0.34,0.22,0.13,10.4%,12540,11103,1356,81,393,13.9%,0.53,60.7%,,0,0,0,0,346,19,135,0,0,3613,3613,5841,0,44018,1830,27,499,24882,0,9,30,0,0,1,71906,Los Heretics,Veni Vidi Vici,Los Heretics
Daglas,JUNGLE,16,3,0,16,Perfect KDA,200,181,,6.3,11975,375,17.7%,59,8,16,5,5,1.85,0.25,0.16,0.5,20.5%,19415,13006,5707,702,609,21.5%,0.6,67.9%,,0,0,0,0,796,-4,257,0,1,2630,2630,14731,0,60485,0,38,670,27888,0,6,24,0,0,1,71906,Los Heretics,Veni Vidi Vici,Los Heretics
Mercy9,MID,18,8,3,12,6.7,298,12,,9.3,15211,477,22.5%,45,15,13,5,5,1.41,0.47,0.16,0.41,15.6%,20487,798,18468,1221,642,22.7%,0.63,71.4%,1,1,0,0,0,1964,36,1147,1,0,4907,4907,554,0,6775,0,25,361,14437,141,8,30,0,819,1,71906,Los Heretics,Veni Vidi Vici,Los Heretics
Rin,ADC,17,8,1,14,22,328,30,,10.3,17748,556,26.2%,41,14,11,2,2,1.29,0.44,0.06,0.34,14.2%,30449,20896,8806,747,955,33.8%,0.69,78.6%,,2,0,0,0,815,9,325,0,0,7166,7166,10882,0,13065,0,13,373,22409,25,3,23,0,140,1,71906,Los Heretics,Veni Vidi Vici,Los Heretics
Kaiser,SUPPORT,13,2,2,22,12,26,0,,0.8,9161,287,13.5%,113,60,7,14,13,3.54,1.88,0.44,0.22,39.2%,7253,849,5857,547,227,8%,0.75,85.7%,,0,0,0,0,598,-4,711,1,0,172,172,18924,11283,22868,1434,59,134,20903,56,16,34,0,168,1,71906,Los Heretics,Veni Vidi Vici,Los Heretics
iBo,TOP,15,1,6,1,0.3,240,0,,7.5,9942,312,20.1%,39,13,10,2,2,1.22,0.41,0.06,0.31,16.6%,21115,291,20824,0,662,29.1%,0.06,33.3%,,0,0,0,0,-346,-19,-135,0,0,497,497,2091,0,28625,0,16,344,25130,185,4,23,87,0,0,71906,Los Heretics,Veni Vidi Vici,Los Heretics
Koldo,JUNGLE,15,2,4,3,1.3,206,191,,6.5,10497,329,21.2%,38,9,8,7,6,1.19,0.28,0.22,0.25,16.2%,9931,8591,935,405,311,13.7%,0.16,83.3%,,0,0,0,0,-796,4,-257,0,0,0,0,16488,0,34572,0,13,212,38256,156,8,25,436,0,0,71906,Los Heretics,Veni Vidi Vici,Los Heretics
Marty,MID,15,1,6,5,1,205,0,,6.4,10127,317,20.5%,21,7,5,3,3,0.66,0.22,0.09,0.16,8.9%,20187,790,19397,0,633,27.8%,0.19,100%,,0,0,0,0,-1964,-36,-1147,-1,0,0,0,1845,0,12144,1083,25,168,18059,171,5,26,464,0,0,71906,Los Heretics,Veni Vidi Vici,Los Heretics
Rayito,ADC,15,2,4,2,1,293,10,,9.2,12478,391,25.2%,21,11,3,3,2,0.66,0.34,0.09,0.09,8.9%,16824,11796,4440,588,527,23.2%,0.13,66.7%,,0,0,0,0,-815,-9,-325,0,0,187,187,4912,0,12838,0,4,149,18836,140,4,23,140,0,0,71906,Los Heretics,Veni Vidi Vici,Los Heretics
Nash,SUPPORT,10,0,8,3,0.4,38,0,,1.2,6467,203,13.1%,116,64,16,14,13,3.64,2.01,0.44,0.5,49.4%,4540,703,3837,0,142,6.3%,0.09,50%,,0,0,0,0,-598,4,-711,-1,0,0,0,1458,628,24774,691,41,169,19445,208,16,30,0,0,0,71906,Los Heretics,Veni Vidi Vici,Los Heretics
iBo,TOP,17,0,0,9,Perfect KDA,269,10,,7.9,13410,394,19.9%,45,16,9,4,3,1.32,0.47,0.12,0.26,13.8%,18248,15981,2196,71,537,19.9%,0.26,56.3%,,0,0,0,0,469,-7,-162,0,0,10592,10592,15949,0,29928,0,26,151,30453,0,5,27,0,0,1,71907,Veni Vidi Vici,Los Heretics,Veni Vidi Vici
